t	q	Bx	By	Bz	Xo	Yo	Vxo	Vyo	Vzo	Fx	Fy	Fz	aX	aY	aZ	Vx	Vy	Vz	X	Y
0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	5.0000	0.0000	Infinity	Infinity	0.0000	Infinity	Infinity	0.0000	Infinity	Infinity	0.0000	Infinity	Infinity	
0.0167	1.0000	0.0000	0.0000	1.0000	Infinity	Infinity	Infinity	Infinity	0.0000	Infinity	-Infinity	NaN	Infinity	-Infinity	NaN	Infinity	NaN	NaN	Infinity	NaN	
0.0333	1.0000	0.0000	0.0000	1.0000	Infinity	NaN	Infinity	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.0500	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.0667	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.0833	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.1000	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.1167	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.1333	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.1500	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.1667	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.1833	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.2000	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.2167	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.2333	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.2500	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.2667	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.2833	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.3000	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.3167	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.3333	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.3500	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.3667	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.3833	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.4000	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.4167	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.4333	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.4500	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.4667	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.4833	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.5000	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.5167	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.5333	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.5500	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.5667	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.5833	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.6000	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.6167	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.6333	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.6500	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.6667	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.6833	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.7000	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.7167	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.7333	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.7500	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.7667	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.7833	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.8000	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.8167	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.8333	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.8500	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.8667	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.8833	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.9000	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.9167	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
0.9333	1.0000	0.0000	0.0000	1.0000	NaN	NaN	NaN	NaN	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
