t	q	Bx	By	Bz	Xo	Yo	Vxo	Vyo	Vzo	Fx	Fy	Fz	aX	aY	aZ	Vx	Vy	Vz	X	Y
0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	5.0000	0.0000	5.0000	-0.0000	0.0000	5.0000	-0.0000	0.0000	0.0833	5.0000	0.0000	0.0007	0.0833	
0.0167	1.0000	0.0000	0.0000	1.0000	0.0007	0.0833	0.0833	5.0000	0.0000	5.0000	-0.0833	0.0000	5.0000	-0.0833	0.0000	0.1667	4.9986	0.0000	0.0028	0.1667	
0.0333	1.0000	0.0000	0.0000	1.0000	0.0028	0.1667	0.1667	4.9986	0.0000	4.9986	-0.1667	0.0000	4.9986	-0.1667	0.0000	0.2500	4.9958	0.0000	0.0062	0.2499	
0.0500	1.0000	0.0000	0.0000	1.0000	0.0062	0.2499	0.2500	4.9958	0.0000	4.9958	-0.2500	0.0000	4.9958	-0.2500	0.0000	0.3332	4.9917	0.0000	0.0111	0.3332	
0.0667	1.0000	0.0000	0.0000	1.0000	0.0111	0.3332	0.3332	4.9917	0.0000	4.9917	-0.3332	0.0000	4.9917	-0.3332	0.0000	0.4164	4.9861	0.0000	0.0174	0.4163	
0.0833	1.0000	0.0000	0.0000	1.0000	0.0174	0.4163	0.4164	4.9861	0.0000	4.9861	-0.4164	0.0000	4.9861	-0.4164	0.0000	0.4995	4.9792	0.0000	0.0250	0.4994	
0.1000	1.0000	0.0000	0.0000	1.0000	0.0250	0.4994	0.4995	4.9792	0.0000	4.9792	-0.4995	0.0000	4.9792	-0.4995	0.0000	0.5825	4.9708	0.0000	0.0340	0.5823	
0.1167	1.0000	0.0000	0.0000	1.0000	0.0340	0.5823	0.5825	4.9708	0.0000	4.9708	-0.5825	0.0000	4.9708	-0.5825	0.0000	0.6654	4.9611	0.0000	0.0444	0.6650	
0.1333	1.0000	0.0000	0.0000	1.0000	0.0444	0.6650	0.6654	4.9611	0.0000	4.9611	-0.6654	0.0000	4.9611	-0.6654	0.0000	0.7481	4.9500	0.0000	0.0562	0.7476	
0.1500	1.0000	0.0000	0.0000	1.0000	0.0562	0.7476	0.7481	4.9500	0.0000	4.9500	-0.7481	0.0000	4.9500	-0.7481	0.0000	0.8306	4.9376	0.0000	0.0693	0.8300	
0.1667	1.0000	0.0000	0.0000	1.0000	0.0693	0.8300	0.8306	4.9376	0.0000	4.9376	-0.8306	0.0000	4.9376	-0.8306	0.0000	0.9129	4.9237	0.0000	0.0839	0.9122	
0.1833	1.0000	0.0000	0.0000	1.0000	0.0839	0.9122	0.9129	4.9237	0.0000	4.9237	-0.9129	0.0000	4.9237	-0.9129	0.0000	0.9949	4.9085	0.0000	0.0998	0.9942	
0.2000	1.0000	0.0000	0.0000	1.0000	0.0998	0.9942	0.9949	4.9085	0.0000	4.9085	-0.9949	0.0000	4.9085	-0.9949	0.0000	1.0767	4.8919	0.0000	0.1170	1.0758	
0.2167	1.0000	0.0000	0.0000	1.0000	0.1170	1.0758	1.0767	4.8919	0.0000	4.8919	-1.0767	0.0000	4.8919	-1.0767	0.0000	1.1583	4.8740	0.0000	0.1357	1.1572	
0.2333	1.0000	0.0000	0.0000	1.0000	0.1357	1.1572	1.1583	4.8740	0.0000	4.8740	-1.1583	0.0000	4.8740	-1.1583	0.0000	1.2395	4.8547	0.0000	0.1556	1.2383	
0.2500	1.0000	0.0000	0.0000	1.0000	0.1556	1.2383	1.2395	4.8547	0.0000	4.8547	-1.2395	0.0000	4.8547	-1.2395	0.0000	1.3204	4.8340	0.0000	0.1770	1.3190	
0.2667	1.0000	0.0000	0.0000	1.0000	0.1770	1.3190	1.3204	4.8340	0.0000	4.8340	-1.3204	0.0000	4.8340	-1.3204	0.0000	1.4010	4.8120	0.0000	0.1996	1.3994	
0.2833	1.0000	0.0000	0.0000	1.0000	0.1996	1.3994	1.4010	4.8120	0.0000	4.8120	-1.4010	0.0000	4.8120	-1.4010	0.0000	1.4812	4.7887	0.0000	0.2237	1.4794	
0.3000	1.0000	0.0000	0.0000	1.0000	0.2237	1.4794	1.4812	4.7887	0.0000	4.7887	-1.4812	0.0000	4.7887	-1.4812	0.0000	1.5610	4.7640	0.0000	0.2490	1.5590	
0.3167	1.0000	0.0000	0.0000	1.0000	0.2490	1.5590	1.5610	4.7640	0.0000	4.7640	-1.5610	0.0000	4.7640	-1.5610	0.0000	1.6404	4.7380	0.0000	0.2757	1.6382	
0.3333	1.0000	0.0000	0.0000	1.0000	0.2757	1.6382	1.6404	4.7380	0.0000	4.7380	-1.6404	0.0000	4.7380	-1.6404	0.0000	1.7193	4.7106	0.0000	0.3037	1.7169	
0.3500	1.0000	0.0000	0.0000	1.0000	0.3037	1.7169	1.7193	4.7106	0.0000	4.7106	-1.7193	0.0000	4.7106	-1.7193	0.0000	1.7979	4.6820	0.0000	0.3330	1.7952	
0.3667	1.0000	0.0000	0.0000	1.0000	0.3330	1.7952	1.7979	4.6820	0.0000	4.6820	-1.7979	0.0000	4.6820	-1.7979	0.0000	1.8759	4.6520	0.0000	0.3636	1.8730	
0.3833	1.0000	0.0000	0.0000	1.0000	0.3636	1.8730	1.8759	4.6520	0.0000	4.6520	-1.8759	0.0000	4.6520	-1.8759	0.0000	1.9534	4.6208	0.0000	0.3955	1.9503	
0.4000	1.0000	0.0000	0.0000	1.0000	0.3955	1.9503	1.9534	4.6208	0.0000	4.6208	-1.9534	0.0000	4.6208	-1.9534	0.0000	2.0304	4.5882	0.0000	0.4287	2.0270	
0.4167	1.0000	0.0000	0.0000	1.0000	0.4287	2.0270	2.0304	4.5882	0.0000	4.5882	-2.0304	0.0000	4.5882	-2.0304	0.0000	2.1069	4.5544	0.0000	0.4632	2.1032	
0.4333	1.0000	0.0000	0.0000	1.0000	0.4632	2.1032	2.1069	4.5544	0.0000	4.5544	-2.1069	0.0000	4.5544	-2.1069	0.0000	2.1828	4.5192	0.0000	0.4990	2.1788	
0.4500	1.0000	0.0000	0.0000	1.0000	0.4990	2.1788	2.1828	4.5192	0.0000	4.5192	-2.1828	0.0000	4.5192	-2.1828	0.0000	2.2581	4.4829	0.0000	0.5360	2.2538	
0.4667	1.0000	0.0000	0.0000	1.0000	0.5360	2.2538	2.2581	4.4829	0.0000	4.4829	-2.2581	0.0000	4.4829	-2.2581	0.0000	2.3328	4.4452	0.0000	0.5742	2.3282	
0.4833	1.0000	0.0000	0.0000	1.0000	0.5742	2.3282	2.3328	4.4452	0.0000	4.4452	-2.3328	0.0000	4.4452	-2.3328	0.0000	2.4069	4.4063	0.0000	0.6137	2.4020	
0.5000	1.0000	0.0000	0.0000	1.0000	0.6137	2.4020	2.4069	4.4063	0.0000	4.4063	-2.4069	0.0000	4.4063	-2.4069	0.0000	2.4804	4.3662	0.0000	0.6544	2.4751	
0.5167	1.0000	0.0000	0.0000	1.0000	0.6544	2.4751	2.4804	4.3662	0.0000	4.3662	-2.4804	0.0000	4.3662	-2.4804	0.0000	2.5531	4.3249	0.0000	0.6964	2.5475	
0.5333	1.0000	0.0000	0.0000	1.0000	0.6964	2.5475	2.5531	4.3249	0.0000	4.3249	-2.5531	0.0000	4.3249	-2.5531	0.0000	2.6252	4.2823	0.0000	0.7395	2.6192	
0.5500	1.0000	0.0000	0.0000	1.0000	0.7395	2.6192	2.6252	4.2823	0.0000	4.2823	-2.6252	0.0000	4.2823	-2.6252	0.0000	2.6966	4.2386	0.0000	0.7839	2.6902	
0.5667	1.0000	0.0000	0.0000	1.0000	0.7839	2.6902	2.6966	4.2386	0.0000	4.2386	-2.6966	0.0000	4.2386	-2.6966	0.0000	2.7672	4.1936	0.0000	0.8294	2.7605	
0.5833	1.0000	0.0000	0.0000	1.0000	0.8294	2.7605	2.7672	4.1936	0.0000	4.1936	-2.7672	0.0000	4.1936	-2.7672	0.0000	2.8371	4.1475	0.0000	0.8761	2.8300	
0.6000	1.0000	0.0000	0.0000	1.0000	0.8761	2.8300	2.8371	4.1475	0.0000	4.1475	-2.8371	0.0000	4.1475	-2.8371	0.0000	2.9063	4.1002	0.0000	0.9240	2.8988	
0.6167	1.0000	0.0000	0.0000	1.0000	0.9240	2.8988	2.9063	4.1002	0.0000	4.1002	-2.9063	0.0000	4.1002	-2.9063	0.0000	2.9746	4.0518	0.0000	0.9730	2.9667	
0.6333	1.0000	0.0000	0.0000	1.0000	0.9730	2.9667	2.9746	4.0518	0.0000	4.0518	-2.9746	0.0000	4.0518	-2.9746	0.0000	3.0421	4.0022	0.0000	1.0231	3.0338	
0.6500	1.0000	0.0000	0.0000	1.0000	1.0231	3.0338	3.0421	4.0022	0.0000	4.0022	-3.0421	0.0000	4.0022	-3.0421	0.0000	3.1088	3.9515	0.0000	1.0744	3.1001	
0.6667	1.0000	0.0000	0.0000	1.0000	1.0744	3.1001	3.1088	3.9515	0.0000	3.9515	-3.1088	0.0000	3.9515	-3.1088	0.0000	3.1747	3.8997	0.0000	1.1268	3.1655	
0.6833	1.0000	0.0000	0.0000	1.0000	1.1268	3.1655	3.1747	3.8997	0.0000	3.8997	-3.1747	0.0000	3.8997	-3.1747	0.0000	3.2397	3.8468	0.0000	1.1802	3.2301	
0.7000	1.0000	0.0000	0.0000	1.0000	1.1802	3.2301	3.2397	3.8468	0.0000	3.8468	-3.2397	0.0000	3.8468	-3.2397	0.0000	3.3038	3.7928	0.0000	1.2347	3.2937	
0.7167	1.0000	0.0000	0.0000	1.0000	1.2347	3.2937	3.3038	3.7928	0.0000	3.7928	-3.3038	0.0000	3.7928	-3.3038	0.0000	3.3670	3.7377	0.0000	1.2903	3.3565	
0.7333	1.0000	0.0000	0.0000	1.0000	1.2903	3.3565	3.3670	3.7377	0.0000	3.7377	-3.3670	0.0000	3.7377	-3.3670	0.0000	3.4293	3.6816	0.0000	1.3470	3.4183	
0.7500	1.0000	0.0000	0.0000	1.0000	1.3470	3.4183	3.4293	3.6816	0.0000	3.6816	-3.4293	0.0000	3.6816	-3.4293	0.0000	3.4907	3.6245	0.0000	1.4046	3.4792	
0.7667	1.0000	0.0000	0.0000	1.0000	1.4046	3.4792	3.4907	3.6245	0.0000	3.6245	-3.4907	0.0000	3.6245	-3.4907	0.0000	3.5511	3.5663	0.0000	1.4633	3.5391	
0.7833	1.0000	0.0000	0.0000	1.0000	1.4633	3.5391	3.5511	3.5663	0.0000	3.5663	-3.5511	0.0000	3.5663	-3.5511	0.0000	3.6105	3.5071	0.0000	1.5230	3.5981	
0.8000	1.0000	0.0000	0.0000	1.0000	1.5230	3.5981	3.6105	3.5071	0.0000	3.5071	-3.6105	0.0000	3.5071	-3.6105	0.0000	3.6690	3.4469	0.0000	1.5837	3.6560	
0.8167	1.0000	0.0000	0.0000	1.0000	1.5837	3.6560	3.6690	3.4469	0.0000	3.4469	-3.6690	0.0000	3.4469	-3.6690	0.0000	3.7264	3.3858	0.0000	1.6453	3.7130	
0.8333	1.0000	0.0000	0.0000	1.0000	1.6453	3.7130	3.7264	3.3858	0.0000	3.3858	-3.7264	0.0000	3.3858	-3.7264	0.0000	3.7828	3.3237	0.0000	1.7079	3.7689	
0.8500	1.0000	0.0000	0.0000	1.0000	1.7079	3.7689	3.7828	3.3237	0.0000	3.3237	-3.7828	0.0000	3.3237	-3.7828	0.0000	3.8382	3.2606	0.0000	1.7714	3.8237	
0.8667	1.0000	0.0000	0.0000	1.0000	1.7714	3.8237	3.8382	3.2606	0.0000	3.2606	-3.8382	0.0000	3.2606	-3.8382	0.0000	3.8926	3.1966	0.0000	1.8358	3.8775	
0.8833	1.0000	0.0000	0.0000	1.0000	1.8358	3.8775	3.8926	3.1966	0.0000	3.1966	-3.8926	0.0000	3.1966	-3.8926	0.0000	3.9459	3.1318	0.0000	1.9011	3.9303	
0.9000	1.0000	0.0000	0.0000	1.0000	1.9011	3.9303	3.9459	3.1318	0.0000	3.1318	-3.9459	0.0000	3.1318	-3.9459	0.0000	3.9981	3.0660	0.0000	1.9673	3.9819	
0.9167	1.0000	0.0000	0.0000	1.0000	1.9673	3.9819	3.9981	3.0660	0.0000	3.0660	-3.9981	0.0000	3.0660	-3.9981	0.0000	4.0492	2.9994	0.0000	2.0344	4.0325	
0.9333	1.0000	0.0000	0.0000	1.0000	2.0344	4.0325	4.0492	2.9994	0.0000	2.9994	-4.0492	0.0000	2.9994	-4.0492	0.0000	4.0991	2.9319	0.0000	2.1023	4.0819	
0.9500	1.0000	0.0000	0.0000	1.0000	2.1023	4.0819	4.0991	2.9319	0.0000	2.9319	-4.0991	0.0000	2.9319	-4.0991	0.0000	4.1480	2.8636	0.0000	2.1710	4.1302	
0.9667	1.0000	0.0000	0.0000	1.0000	2.1710	4.1302	4.1480	2.8636	0.0000	2.8636	-4.1480	0.0000	2.8636	-4.1480	0.0000	4.1957	2.7944	0.0000	2.2405	4.1774	
